timestamp,endpoint,status_code,response_time_ms
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:00:04.828000
2026-04-17T10:00:08.416000,/home,400,626
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:00:09.652000
2026-04-17T10:00:11.468000,/api/v1/users,200,1195
2026-04-17T10:00:11.973000,/api/v1/products,400,685
2026-04-17T10:00:13.061000,/api/v1/users,200,1271
2026-04-17T10:00:14.199000,/api/v1/users,200,1353
2026-04-17T10:00:15.171000,/login,404,888
2026-04-17T10:00:17.899000,/home,502,45
2026-04-17T10:00:21.238000,/api/v1/products,201,1139
2026-04-17T10:00:21.682000,/login,201,163
2026-04-17T10:00:24.140000,/home,400,1120
2026-04-17T10:00:27.090000,/api/v1/products,301,1173
2026-04-17T10:00:32.085000,/checkout,200,752
2026-04-17T10:00:34.674000,/api/v1/users,OK,61
2026-04-17T10:00:37.879000,/checkout,301,594
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:00:38.654000
2026-04-17T10:00:40.878000,/api/v1/users,200,732
2026-04-17T10:00:45.021000,/api/v1/users,200,1257
2026-04-17T10:00:45.801000,/login,200,294
2026-04-17T10:00:50.026000,/login,404,1135
2026-04-17T10:00:52.187000,/cart,500,1312
17-04-2026 10:00:57,/checkout,201,1391
2026-04-17T10:00:59.831000,/api/v1/users,500,1452
2026-04-17T10:01:04.576000,/checkout,500,584
2026-04-17T10:01:06.745000,/cart,502
2026-04-17T10:01:07.904000,/api/v1/products,201,1421
2026-04-17T10:01:07.952000,/login,200,800
2026-04-17T10:01:10.247000,/cart,503,114
2026-04-17T10:01:14.363000,/cart,503,946
2026-04-17T10:01:17.293000,/api/v1/products,401,958
2026-04-17T10:01:20.149000,/login,OK,759
2026-04-17T10:01:24.789000,/login,502,258
2026-04-17T10:01:25.077000,/cart,200,102
2026-04-17T10:01:26.643000,/checkout,200,84
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:01:30.045000
2026-04-17T10:01:32.855000,/home,404,1374
2026-04-17T10:01:33.140000,/api/v1/products,400,981
2026-04-17T10:01:35.901000,/api/v1/users,500,111
2026-04-17T10:01:39.277000,/home,200,70
2026-04-17T10:01:41.665000,/login,OK,439
17-04-2026 10:01:43,/home,403,877
2026-04-17T10:01:45.135000,/login,404,516
2026-04-17T10:01:48.073000,/home,503,1134
2026-04-17T10:01:48.524000,/login,404,1171
2026-04-17T10:01:49.868000,/api/v1/users,502,445
2026-04-17T10:01:53.027000,/api/v1/products,500,612
2026-04-17T10:01:54.391000,/api/v1/users,403,21
2026-04-17T10:01:55.142000,/cart,503,301
2026-04-17T10:01:55.637000,/cart,OK,1485
2026-04-17T10:02:00.148000,/api/v1/products,400,1389
2026-04-17T10:02:01.357000,/api/v1/users,403,342
2026-04-17T10:02:01.421000,/cart,403,728
2026-04-17T10:02:05.947000,/api/v1/products,502,1327
2026-04-17T10:02:10.832000,/checkout,400,1136
2026-04-17T10:02:14.740000,/checkout,403,1148
2026-04-17T10:02:16.939000,/home,502,238
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:02:18.534000
2026-04-17T10:02:21.467000,/checkout,200,905
2026-04-17T10:02:23.932000,/api/v1/users,400,1466
2026-04-17T10:02:25.700000,/login,200,855
2026-04-17T10:02:26.897000,/checkout,301,1281
2026-04-17T10:02:28.206000,/login,200,1308
2026-04-17T10:02:29.755000,/api/v1/users,200
2026-04-17T10:02:31.273000,/checkout,400,1159
2026-04-17T10:02:35.042000,/login,301,301
2026-04-17T10:02:38.005000,/api/v1/users,301,112
2026-04-17T10:02:40.070000,/api/v1/users,200,1363
2026-04-17T10:02:42.908000,/login,201,1146
2026-04-17T10:02:43.330000,/login,401,1342
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:02:47.020000
2026-04-17T10:02:48.834000,/login,503,797
2026-04-17T10:02:49.999000,/login,200,475
ERROR: CONNECTION RESET BY PEER at 2026-04-17T10:02:54.602000
2026-04-17T10:02:55.892000,/api/v1/users,503,217
2026-04-17T10:02:59.235000,/home,200,804
2026-04-17T10:03:03.287000,/checkout,401,1245
2026-04-17T10:03:06.610000,/cart,502,900
2026-04-17T10:03:08.643000,/login,200,1190
2026-04-17T10:03:13.068000,/home,200,577
2026-04-17T10:03:17.525000,/api/v1/users,401,757
2026-04-17T10:03:19.143000,/login,200,973
2026-04-17T10:03:23.954000,/api/v1/products,500,126
2026-04-17T10:03:28.384000,/cart,500,781
2026-04-17T10:03:32.367000,/api/v1/users,301,625
2026-04-17T10:03:34.191000,/home,200,818
2026-04-17T10:03:34.720000,/home,200,677
2026-04-17T10:03:36.741000,/api/v1/users,201,315
2026-04-17T10:03:36.905000,/cart,400,813
2026-04-17T10:03:37.269000,/home,404,1189
